"PC1"	"PC2"	"group"	"Clade"	"Genotype"	"name"
"13-A-B"	-10.5702349841325	-16.7637798036819	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"13-A-B"
"14-A-B"	-19.9328219324545	-16.4068630779781	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"14-A-B"
"15-E-B"	-20.9372995287517	8.84282615199364	"L4.4:Evolved"	"L4.4"	"Evolved"	"15-E-B"
"16-E-B"	-27.4106802821263	9.14446638231452	"L4.4:Evolved"	"L4.4"	"Evolved"	"16-E-B"
"21-A-B"	39.7686713882052	-13.2446348149314	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"21-A-B"
"22-A-B"	56.7420281623356	-10.7326704857709	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"22-A-B"
"23-E-B"	-23.2336357347097	-17.1731634450638	"L4.9:Evolved"	"L4.9"	"Evolved"	"23-E-B"
"24-E-B"	-23.7780742364896	-17.3950837122531	"L4.9:Evolved"	"L4.9"	"Evolved"	"24-E-B"
"29-A-B"	79.2836170808626	-18.7878384605241	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"29-A-B"
"30-A-B"	5.13663455821871	10.0337728271572	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"30-A-B"
"31-E-B"	-18.6463301260364	9.96152227348389	"L4.4:Evolved"	"L4.4"	"Evolved"	"31-E-B"
"32-E-B"	-17.3774268400474	9.96829323753142	"L4.4:Evolved"	"L4.4"	"Evolved"	"32-E-B"
"37-A-B"	-27.83775376365	18.0316610251468	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"37-A-B"
"38-A-B"	-29.1453960110824	18.682527797558	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"38-A-B"
"39-E-B"	-23.8272213929562	18.8295344467172	"L4.4:Evolved"	"L4.4"	"Evolved"	"39-E-B"
"40-E-B"	-20.0147030258923	19.5022778648045	"L4.4:Evolved"	"L4.4"	"Evolved"	"40-E-B"
"45-A-B"	88.1511377996931	26.2396903694028	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"45-A-B"
"46-A-B"	68.3901875632938	18.2158429946574	"L4.4:Ancestral"	"L4.4"	"Ancestral"	"46-A-B"
"47-E-B"	-19.1849022040729	11.2940783988614	"L4.4:Evolved"	"L4.4"	"Evolved"	"47-E-B"
"48-E-B"	-16.7492251321457	10.1197038518634	"L4.4:Evolved"	"L4.4"	"Evolved"	"48-E-B"
"5-A-B"	-12.1350803990053	-19.7748746465419	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"5-A-B"
"6-A-B"	8.28508100552082	-19.3434484359547	"L4.9:Ancestral"	"L4.9"	"Ancestral"	"6-A-B"
"7-E-B"	-13.8020617131773	-19.8339259773817	"L4.9:Evolved"	"L4.9"	"Evolved"	"7-E-B"
"8-E-B"	-21.1745102513993	-19.4099147614107	"L4.9:Evolved"	"L4.9"	"Evolved"	"8-E-B"
